Наименование,Описание,Категория,Цена,Фото
Картофельное пюре,,Гарниры,150 с,https://nambafood.kg/dish_image/145386.png
Хачапури по аджарски,"Тесто, сыр сулугуни, сыр домашний и яйцо",Выпечка,300 с,https://nambafood.kg/dish_image/145380.png
Хачапури по мегрельски,"Тесто, сыр сулугуни и сыр домашний",Выпечка,370 с,https://nambafood.kg/dish_image/145381.png
Пицца маргарита,"Тесто, соус для пиццы, сыр моцарелла",Выпечка,290 с,https://nambafood.kg/dish_image/145382.png
Пицца четыре сыра,"Сыр пармезан, дор-блю, сыр моцарелла, чеддер",Выпечка,450 с,https://nambafood.kg/dish_image/145383.png
Пицца пепперони,"Тесто, сыр моцарелла, соус для пиццы, пепперони",Выпечка,400 с,https://nambafood.kg/dish_image/145384.png
Пицца баварская,"Колбаски, пепперони, соус для пиццы, халапеньо",Выпечка,400 с,https://nambafood.kg/dish_image/145385.png
Тар-тар,,Соусы,50 с,https://nambafood.kg/dish_image/138072.png
Кетчуп,,Соусы,50 с,https://nambafood.kg/dish_image/138074.png
Coca-Cola 1 л,,Напитки,180 с,https://nambafood.kg/dish_image/138426.png
Fanta 1 л,,Напитки,180 с,https://nambafood.kg/dish_image/138427.png
Sprite 1 л,,Напитки,180 с,https://nambafood.kg/dish_image/138428.png
"Coca-Cola 0,25 л",,Напитки,80 с,https://nambafood.kg/dish_image/138430.png
"Shweppes 0,33 л.",,Напитки,120 с,https://nambafood.kg/dish_image/138431.png
