Наименование,Описание,Категория,Цена,Фото
Ягодный чизкейк,Смородиновый,Десерты,200 с,https://nambafood.kg/dish_image/141558.png
Чизкейк «Манго-маракуйя»,,Десерты,200 с,https://nambafood.kg/dish_image/124798.png
Чизкейк «Орео»,,Десерты,200 с,https://nambafood.kg/dish_image/124800.png
Ягодный смузи маленький,,Смузи,170 с,https://nambafood.kg/dish_image/141533.png
Ягодный смузи большой,,Смузи,210 с,https://nambafood.kg/dish_image/141534.png
Смузи клубника-банан маленький,,Смузи,170 с,https://nambafood.kg/dish_image/141549.png
Смузи клубника-банан большой,,Смузи,210 с,https://nambafood.kg/dish_image/141550.png
Смузи тропический -  маленький,,Смузи,200 с,https://nambafood.kg/dish_image/107377.png
Смузи тропический -  большой,,Смузи,240 с,https://nambafood.kg/dish_image/107378.png
Смузи банан-киви-шпинат  маленький,,Смузи,200 с,https://nambafood.kg/dish_image/141560.png
Смузи яблоко-ананас-мята,,Смузи,240 с,https://nambafood.kg/dish_image/141559.png
Молочный коктейль клубничный - маленький,,Молочные коктейли,210 с,https://nambafood.kg/dish_image/141536.png
Молочный коктейль клубничный - большой,,Молочные коктейли,250 с,https://nambafood.kg/dish_image/141535.png
Молочный коктейль Орео - маленький,,Молочные коктейли,210 с,https://nambafood.kg/dish_image/107357.png
Молочный коктейль Орео - большой,,Молочные коктейли,250 с,https://nambafood.kg/dish_image/107399.png
Молочный коктейль шоколадный -  маленький,,Молочные коктейли,210 с,https://nambafood.kg/dish_image/141532.png
Молочный коктейль шоколадный -  большой,,Молочные коктейли,250 с,https://nambafood.kg/dish_image/141531.png
Молочный коктейль ванильный - маленький,,Молочные коктейли,210 с,https://nambafood.kg/dish_image/107359.png
Молочный коктейль ванильный - большой,,Молочные коктейли,250 с,https://nambafood.kg/dish_image/107401.png
Молочный коктейль банановый - маленький,,Молочные коктейли,210 с,https://nambafood.kg/dish_image/107360.png
Молочный коктейль банановый - большой,,Молочные коктейли,250 с,https://nambafood.kg/dish_image/107402.png
Коктейль протеиновый печенье,,Молочные коктейли,240 с,https://nambafood.kg/dish_image/107444.png
Коктейль протеиновый банан-клубника,,Молочные коктейли,210 с,https://nambafood.kg/dish_image/107445.png
Коктейль протеиновый арахис,,Молочные коктейли,240 с,https://nambafood.kg/dish_image/107446.png
Молочный матча маленький,,Молочные коктейли,200 с,https://nambafood.kg/dish_image/107689.png
Молочный матча большой,,Молочные коктейли,240 с,https://nambafood.kg/dish_image/107690.png
Кофейный молочный коктейль -  маленький,,Молочные коктейли,240 с,https://nambafood.kg/dish_image/107375.png
Кофейный молочный коктейль -  большой,,Молочные коктейли,280 с,https://nambafood.kg/dish_image/107376.png
Мохито классический,400 мл.,Лимонады,130 с,https://nambafood.kg/dish_image/107384.png
Лимонад тропический,400 мл.,Лимонады,190 с,https://nambafood.kg/dish_image/107379.png
Лимонад классический,400 мл.,Лимонады,150 с,https://nambafood.kg/dish_image/107382.png
Лимонад ягодный,400 мл.,Лимонады,150 с,https://nambafood.kg/dish_image/141547.png
Лимонад Огурец-имбирь,,Лимонады,300 с,https://nambafood.kg/dish_image/107408.png
Лимонад Киви-мята,,Лимонады,300 с,https://nambafood.kg/dish_image/107409.png
Лимонад персик-апельсин,,Лимонады,150 с,https://nambafood.kg/dish_image/141529.png
Лимонад персик-апельсин,,Летние напитки,150 с,https://nambafood.kg/dish_image/141356.png
Лимонад груша с карамелью,,Летние напитки,150 с,https://nambafood.kg/dish_image/141357.png
"Смузи «Малина, шоколад и мята»‎‎ маленький",,Летние напитки,180 с,https://nambafood.kg/dish_image/141358.png
Жасминовый айсти с клюквой,,Летние напитки,130 с,https://nambafood.kg/dish_image/141359.png
Апельсиновый раф,,Летние напитки,240 с,https://nambafood.kg/dish_image/141360.png
Соки Сандора в ассортименте 1 л,,Напитки,150 с,https://nambafood.kg/dish_image/107312.png
Вода без газа 0.5 мл,,Напитки,40 с,https://nambafood.kg/dish_image/107459.png
Вода без газа 1 л,,Напитки,80 с,https://nambafood.kg/dish_image/107460.png
Coca-Cola 0.33 мл,,Напитки,60 с,https://nambafood.kg/dish_image/107313.png
Coca-Cola 1 л,,Напитки,150 с,https://nambafood.kg/dish_image/107462.png
Американо маленький,,Горячие напитки,130 с,https://nambafood.kg/dish_image/107315.png
Американо большой,,Горячие напитки,170 с,https://nambafood.kg/dish_image/107316.png
Капучино маленький,,Горячие напитки,160 с,https://nambafood.kg/dish_image/141543.png
Капучино большой,,Горячие напитки,200 с,https://nambafood.kg/dish_image/141544.png
Латте маленький,,Горячие напитки,150 с,https://nambafood.kg/dish_image/141545.png
Латте большой,,Горячие напитки,190 с,https://nambafood.kg/dish_image/141546.png
Карамельный латте маленький,,Горячие напитки,180 с,https://nambafood.kg/dish_image/107321.png
Карамельный латте большой,,Горячие напитки,220 с,https://nambafood.kg/dish_image/107322.png
Мока - маленький,,Горячие напитки,180 с,https://nambafood.kg/dish_image/107395.png
Мока - большой,,Горячие напитки,220 с,https://nambafood.kg/dish_image/107396.png
Мокка минт маленький,,Горячие напитки,180 с,https://nambafood.kg/dish_image/107333.png
Мокка минт большой,,Горячие напитки,220 с,https://nambafood.kg/dish_image/107334.png
Кофе по-венски,,Горячие напитки,260 с,https://nambafood.kg/dish_image/107335.png
Раф-кофе маленький,,Горячие напитки,240 с,https://nambafood.kg/dish_image/107342.png
Раф-кофе большой,,Горячие напитки,280 с,https://nambafood.kg/dish_image/107343.png
Лавандовый раф маленький,,Горячие напитки,240 с,https://nambafood.kg/dish_image/107426.png
Лавандовый раф большой,,Горячие напитки,280 с,https://nambafood.kg/dish_image/107427.png
Горячий какао маленький,,Горячие напитки,110 с,https://nambafood.kg/dish_image/107344.png
Горячий какао большой,,Горячие напитки,150 с,https://nambafood.kg/dish_image/107345.png
Горячий шоколад,,Горячие напитки,180 с,https://nambafood.kg/dish_image/107346.png
Стимер маленький,,Горячие напитки,90 с,https://nambafood.kg/dish_image/107428.png
Стимер большой,,Горячие напитки,130 с,https://nambafood.kg/dish_image/107429.png
