Наименование,Описание,Категория,Цена,Фото
Суп с фрикадельками,"400 г. Фрикадельки из говядины, картофель, морковь, болгарский перец, зелень.",Супы,200 с,https://nambafood.kg/dish_image/78185.png
"Суп с фрикадельками 0,7","300 г. Фрикадельки из говядины, картофель, морковь, болгарский перец, зелень.",Супы,175 с,https://nambafood.kg/dish_image/78186.png
Мампар,"400 г. Говядина, картофель, редька, морковь, болгарский перец, лук, тесто, томат, сметана.",Супы,200 с,https://nambafood.kg/dish_image/78152.png
"Мампар 0,7","300 г. Говядина, картофель, редька, морковь, болгарский перец, лук, тесто, томат, сметана.",Супы,175 с,https://nambafood.kg/dish_image/78153.png
Чучвара,"420 г. Говядина, пельмешки, морковь, редька, болгарский перец, сметана.",Супы,200 с,https://nambafood.kg/dish_image/71884.png
"Чучвара 0,7","350 г. Говядина, пельмешки, морковь, редька, болгарский перец, сметана.",Супы,175 с,https://nambafood.kg/dish_image/71885.png
Пельмени с бульоном,"400 г. Пельмени из говядины, сметана, укроп.",Супы,210 с,https://nambafood.kg/dish_image/107504.png
Нохат шорпо,"400 г. Говядина, картофель, морковь, болгарский перец, нут.",Супы,210 с,https://nambafood.kg/dish_image/107518.png
"Нохат шорпо 0,7","300 г. Говядина, картофель, морковь, болгарский перец, нут.",Супы,200 с,https://nambafood.kg/dish_image/107519.png
Куриный суп с лапшой,"300 г. Домашняя курица, нарезная лапша.",Супы,210 с,https://nambafood.kg/dish_image/71861.png
Чечевичный крем суп,300 г,Супы,190 с,https://nambafood.kg/dish_image/78192.png
Крем-суп из шампиньонов,"300 г. Шампиньоны, сливки, сливочное масло, картофель, соус песто.",Супы,300 с,https://nambafood.kg/dish_image/78150.png
Солянка,"400 г. Сервелат, сосиски, курица, говядина, томат, лук, маслины, соленые огурцы, сметана.",Супы,245 с,https://nambafood.kg/dish_image/71879.png
Бедона шорпо в горшочке,"450 г. Перепелка, фрикадельки, картофель, морковь, лук, болгарский перец.",Супы,485 с,https://nambafood.kg/dish_image/71850.png
Козу шорпо в горшочке,"450 г. Баранина, картофель, морковь, болгарский перец, лук, помидоры.",Супы,350 с,https://nambafood.kg/dish_image/78146.png
Крем-суп из брокколи,"300 г. Брокколи, сливки, сливочное масло, картофель.",Супы,280 с,https://nambafood.kg/dish_image/78149.png
Кимчи тиге,"500 г. Говядина, чимчи, грибы, лук, острый перец.",Супы,330 с,https://nambafood.kg/dish_image/71860.png
Окрошка,300 г,Супы,210 с,https://nambafood.kg/dish_image/32889.png
Кукси,"450 г. Лапша, капуста, огурцы, болгарский перец, яичный блин, помидоры, кунжут.",Супы,235 с,https://nambafood.kg/dish_image/78188.png
"Кукси 0,7","400 г. Лапша, капуста, огурцы, болгарский перец, яичный блин, помидоры, кунжут.",Супы,220 с,https://nambafood.kg/dish_image/78189.png
Мясо по-казахски,"400 г. Говядина, тесто, лук.",Супы,200 с,https://nambafood.kg/dish_image/49677.png
"Мясо по-казахски 0,7","300 г. Говядина, тесто, лук.",Супы,175 с,https://nambafood.kg/dish_image/49678.png
Ю-кядян,"500 г. Говядина, фунчёза, папоротник, яйцо, зеленый лук.",Супы,300 с,https://nambafood.kg/dish_image/71883.png
Бараньи ребра в остром соусе по-восточному,"350 г. Бараньи ребрышки, лук, соевый соус, острый соус.",Вторые блюда,800 с,https://nambafood.kg/dish_image/78135.png
Манты жареные,5 шт.,Вторые блюда,260 с,https://nambafood.kg/dish_image/32957.png
Мясо по-французски,"250 г. Говяжья отбивная, помидоры, сыр Моцарелла, майонез.",Вторые блюда,430 с,https://nambafood.kg/dish_image/71870.png
Цыпленок табака,300 г,Вторые блюда,550 с,https://nambafood.kg/dish_image/49686.png
Манты с мясом,5 шт.,Вторые блюда,250 с,https://nambafood.kg/dish_image/78154.png
Фирменное блюдо Бухара,400 г. Запеченное маринованное бон филе с овощами и картофелем фри.,Вторые блюда,950 с,https://nambafood.kg/dish_image/78130.png
Чучвара по-Андижански,200 г. Жареные пельмешки.,Вторые блюда,275 с,https://nambafood.kg/dish_image/49687.png
Нан-Кебаб,"250 г. Маринованная говядина на вертеле, тандырная лепешка, специальный соус, лук.",Вторые блюда,380 с,https://nambafood.kg/dish_image/78128.png
Форель по-бухарски,"220 г. Жареная форель, специи.",Вторые блюда,550 с,https://nambafood.kg/dish_image/32927.png
Казан-кебаб из каре барашка,"350 г. Бараньи ребра, репчатый лук, запеченный картофель.",Вторые блюда,550 с,https://nambafood.kg/dish_image/78143.png
Бризоль,"250 г. Говяжий рулет, яйцо, свежие овощи, майонез, кетчуп.",Вторые блюда,365 с,https://nambafood.kg/dish_image/78191.png
Котлета по-домашнему,"200 г. Говядина, специи.",Вторые блюда,320 с,https://nambafood.kg/dish_image/49665.png
Бифштекс,"400 г. Котлета, яйцо, картофельное пюре, рис.",Вторые блюда,355 с,https://nambafood.kg/dish_image/49650.png
Семга в сливочно-икорном соусе,"300 г. Семга, сливки, красная икра, шпинат, помидоры черри, лимон.",Вторые блюда,1120 с,https://nambafood.kg/dish_image/78190.png
T-bone стейк,350 г. Стейк из говядины с косточкой с овощами гриль.,Вторые блюда,1000 с,https://nambafood.kg/dish_image/78171.png
Куурдак,"350 г. Мякоть баранины, картофель, лук репчатый.",Вторые блюда,530 с,https://nambafood.kg/dish_image/71862.png
Картошка по-домашнему с тушенкой,"300 г. Тушенка из говядины, картофель, лук.",Вторые блюда,385 с,https://nambafood.kg/dish_image/78145.png
Рибай стейк,350 г. Стейк из говядины с овощами гриль.,Вторые блюда,1000 с,https://nambafood.kg/dish_image/78173.png
Плов Узгенский,"360 г. Узгенский рис, морковь, баранина.",Вторые блюда,300 с,https://nambafood.kg/dish_image/78187.png
Плов Ташкентский,"360 г. Рис лазер, морковь, говядина, изюм, нохат.",Вторые блюда,300 с,https://nambafood.kg/dish_image/71871.png
Плов Самаркандский,"360 г. Рис Алангя, баранина, морковь, лук.",Вторые блюда,300 с,https://nambafood.kg/dish_image/107505.png
Курица в кисло-остром соусе,"400 г. Куриное филе, болгарский перец, морковь, помидоры чери",Вторые блюда,415 с,https://nambafood.kg/dish_image/107522.png
Курица под сыром,"250 г. Курица, сыр.",Вторые блюда,415 с,https://nambafood.kg/dish_image/107506.png
Бешбармак с бараниной,"450 г. Домашняя лапша, баранина.",Вторые блюда,330 с,https://nambafood.kg/dish_image/78136.png
Мясо с грибами в сливочном соусе,"300 г. Говядина, грибы, лук, сливки, сметана.",Вторые блюда,440 с,https://nambafood.kg/dish_image/78184.png
Нарын,"350 г. Тесто, конина, бульон, казы.",Вторые блюда,460 с,https://nambafood.kg/dish_image/107507.png
Гюро лагман,"500 г. Домашняя лапша, говядина, сельдерей, болгарский перец, китайская капуста, специи.",Вторые блюда,280 с,https://nambafood.kg/dish_image/78182.png
Говядина с черными грибами,"300 г. Говядина, черные грибы, лук, болгарский перец, специи.",Вторые блюда,420 с,https://nambafood.kg/dish_image/78180.png
Жареный лагман,"400 г. Домашняя лапша, говядина, сельдерей, болгарский перец, китайская капуста, специи.",Вторые блюда,280 с,https://nambafood.kg/dish_image/78181.png
Фунчеза-сяй,"380 г. Говядина, фунчеза, болгарский перец, лук, специи.",Вторые блюда,400 с,https://nambafood.kg/dish_image/78172.png
Казан-кебаб из говядины,"320 г. Говядина, лук, специи.",Вторые блюда,450 с,https://nambafood.kg/dish_image/78176.png
Лагман,"450 г. Домашняя лапша, говядина, сельдерей, болгарский перец, китайская капуста, специи.",Вторые блюда,270 с,https://nambafood.kg/dish_image/78178.png
"Лагман 0,7","350 г. Домашняя лапша, говядина, сельдерей, болгарский перец, китайская капуста, специи.",Вторые блюда,250 с,https://nambafood.kg/dish_image/78179.png
Ганфан,"450 г. Говядина, рис, болгарский перец, сельдерей, китайская капуста, специи.",Вторые блюда,280 с,https://nambafood.kg/dish_image/78139.png
Соумян,"400 г. Говядина, болгарский перец, лук, тесто, специи.",Вторые блюда,280 с,https://nambafood.kg/dish_image/78174.png
Мишуру,"350 г. Говядина, черные грибы, болгарский перец, яйца, лук, специи.",Вторые блюда,420 с,https://nambafood.kg/dish_image/78175.png
Джаз с бараниной,80 г. Кусковой шашлык.,Мангал,200 с,https://nambafood.kg/dish_image/107523.png
Джаз с говядиной,80 г. Кусковой шашлык.,Мангал,200 с,https://nambafood.kg/dish_image/107525.png
Кофта,"100 г. Рубленный шашлык из говядины, очень сочный.",Мангал,200 с,https://nambafood.kg/dish_image/107527.png
Шашлык Бухара,"100 г. Говядина, черные грибы, болгарский перец, яйца, лук, специи.",Мангал,210 с,https://nambafood.kg/dish_image/107529.png
Шашлык из куриных крылышек,200 г. Шашлык из куриных крыльев,Мангал,280 с,https://nambafood.kg/dish_image/107531.png
Оромо джигар,100 г. Печень завернутая в жир.,Мангал,200 с,https://nambafood.kg/dish_image/107533.png
Уч панджа,220 г. Шашлык из говядины с курдючным жиром.,Мангал,600 с,https://nambafood.kg/dish_image/71652.png
Форель на углях,250 г,Мангал,550 с,https://nambafood.kg/dish_image/32915.png
Перепелки на мангале,3 шт.,Мангал,700 с,https://nambafood.kg/dish_image/140605.png
Самсы бухарские,"1 шт. говядина, лук, помидоры, тонкое тесто",Выпечка,80 с,https://nambafood.kg/dish_image/71848.png
Боорсок 200 г,,Выпечка,80 с,https://nambafood.kg/dish_image/78137.png
Лепешка по-гиждувански,"450 г. Лепешка с сырной начинкой, обжаренная на сливочном масле.",Выпечка,370 с,https://nambafood.kg/dish_image/78151.png
Чебуреки 2 шт,"Говядина, слоенное тесто.",Выпечка,150 с,https://nambafood.kg/dish_image/78168.png
Лепешка,1 шт.,Выпечка,45 с,https://nambafood.kg/dish_image/49690.png
Картофель по-деревенски,150 г,Гарниры,130 с,https://nambafood.kg/dish_image/71893.png
Рис,200 г,Гарниры,80 с,https://nambafood.kg/dish_image/71872.png
Пюре,200 г,Гарниры,120 с,https://nambafood.kg/dish_image/71892.png
Фри,110 г,Гарниры,130 с,https://nambafood.kg/dish_image/71877.png
Овощи гриль,230 г,Гарниры,150 с,https://nambafood.kg/dish_image/71866.png
Жареный рис с овощами,"Рис отварной, боларский перец, специи, яйцо",Гарниры,170 с,https://nambafood.kg/dish_image/140606.png
Маргелански Пирожок 2.3 кг,"Бараньи ребра, обжаренный картофель, специи. Рассчитан на 6 человек.",Блюда на заказ ( Время приготовления 2 часа ),2800 с,https://nambafood.kg/dish_image/71895.png
