Наименование,Описание,Категория,Цена,Фото
Белая рыба с ризотто,"300 гр. Филе судака обжаренное на гриле, подается с ризотто и белым соусом",Основные блюда,465 с,https://nambafood.kg/dish_image/142331.png
Филе миньон с грибным гротеном,"350 гр. Бонфиле теленка обжаренное в хоспере, подается на подушке из грибного гратена с австралийским пюре",Основные блюда,645 с,https://nambafood.kg/dish_image/104986.png
Куриная грудка в сливочно-грибном соусе,"350 гр. Куриная грудка на гриле, шампиньоны, сыр, сливки, подается с запеченным картофелем",Основные блюда,345 с,https://nambafood.kg/dish_image/104368.png
"Эксклюзивный премиум бургер ""Чикаго"" от шефа",,Основные блюда,395 с,https://nambafood.kg/dish_image/104967.png
Каре ягненка,"Ребрышки ягненка в соусе сальса, с овощами гриль и микс салатом",Основные блюда,995 с,https://nambafood.kg/dish_image/142332.png
Стейк из конфиде с овощами соте и микс салатом,,Основные блюда,995 с,https://nambafood.kg/dish_image/143402.png
Карбонара,"350 гр. Спагетти, говяжий карбонат, сыр пармезан, сливки",Паста,325 с,https://nambafood.kg/dish_image/100351.png
Болоньезе,"320 гр. Говяжий фарш, сочные томаты, лук, чеснок, базилик",Паста,325 с,https://nambafood.kg/dish_image/104345.png
Пенне Арабьята,"350 гр. Паста пенне, перчик чили, оливковое масло, чеснок, пармезан",Паста,265 с,https://nambafood.kg/dish_image/104979.png
Феттучини с курицей и грибами,"350 гр. Паста феттучини, куриная грудка, шампиньоны, сыр пармезан",Паста,385 с,https://nambafood.kg/dish_image/104342.png
Четыре сыра,"400 гр. моцарелла, сыр чеддер, голандский, тильзитский, пицца соус",Пицца,395 с,https://nambafood.kg/dish_image/100345.png
Дьябло,"400 гр. острый перец, два вида колбасы, сыр моцарелла, пицца соус",Пицца,395 с,https://nambafood.kg/dish_image/104971.png
Пепперони,"400 гр. халяльная колбаса пепперони, сыр моцарелла, пицца соус",Пицца,375 с,https://nambafood.kg/dish_image/104357.png
Гавайская,"400 гр. Куринная грудка, ананас, кукуруза, болгарский перец, сыр моцарелла, пицца соус",Пицца,355 с,https://nambafood.kg/dish_image/104968.png
Маргарита,"400 гр. Помидоры, сыр моцарелла, пицца соус",Пицца,315 с,https://nambafood.kg/dish_image/100347.png
Ribeye стейк,"Известный стейк во всем мире, удивительно нежный и потрясающе сочный",Хоспер меню,995 с,https://nambafood.kg/dish_image/104344.png
PEPPER стейк,"Пеппер стейк - это простая, но невероятно вкусная мясная классика",Хоспер меню,755 с,https://nambafood.kg/dish_image/104990.png
NEW YORK стейк,"Рекомендуемая прожарка medium rare, именно так мясо раскрывает весь свой вкус",Хоспер меню,865 с,https://nambafood.kg/dish_image/100366.png
COWBOY стейк,Ковбой стейк считается истинно мужским стейком,Хоспер меню,865 с,https://nambafood.kg/dish_image/100363.png
ТOMAHAWK стейк,"Стейк рибай на кости, с целой реберной костью",Хоспер меню,1595 с,https://nambafood.kg/dish_image/104359.png
T-BONE стейк,"Вкуснейший стейк на Т-образной кости, обжаренный в хоспере",Хоспер меню,865 с,https://nambafood.kg/dish_image/104367.png
Сёмга с прованскими травами,460 гр. Подается с картофелем кантри и сливочным соусом,Хоспер меню,715 с,https://nambafood.kg/dish_image/142327.png
Филе форели,260 гр. Подается с овощами гриль и сливочным соусом,Хоспер меню,545 с,https://nambafood.kg/dish_image/100360.png
Сибас в хоспере,"350 гр. Подается с микс салатом: лолло росса, лист салата, лимонный соус, соус таратор",Хоспер меню,1225 с,https://nambafood.kg/dish_image/104358.png
Баранина филе,220 гр.,Шашлыки,435 с,https://nambafood.kg/dish_image/104337.png
Ребрышки баранина,220 гр.,Шашлыки,595 с,https://nambafood.kg/dish_image/100323.png
Говядина филе,220 гр.,Шашлыки,365 с,https://nambafood.kg/dish_image/104338.png
Куриное филе,220 гр.,Шашлыки,255 с,https://nambafood.kg/dish_image/100325.png
Кебаб по-азербайджански,220 гр.,Шашлыки,355 с,https://nambafood.kg/dish_image/104348.png
Сет из шашлыков с кавказским ассорти,1100 гр. Ассорти шашлыков подается с овощной нарезкой и соусом ортега,Шашлыки,1995 с,https://nambafood.kg/dish_image/104360.png
Картофель кантри,200 гр.,Гарниры,155 с,https://nambafood.kg/dish_image/100317.png
Овощи на гриле,200 гр.,Гарниры,145 с,https://nambafood.kg/dish_image/142337.png
Овощи припущенные,200 гр.,Гарниры,125 с,https://nambafood.kg/dish_image/100320.png
Картофель фри,200 гр.,Гарниры,125 с,https://nambafood.kg/dish_image/100321.png
Хлебная корзина собственного приготовления,"260 гр. Багет ржаной, чиабатта, фокачча, хлебные палочки, гриссини",Хлеб,135 с,https://nambafood.kg/dish_image/104362.png
Ржаной хлеб,2 шт.,Хлеб,40 с,https://nambafood.kg/dish_image/100314.png
Белый хлеб,2 шт.,Хлеб,40 с,https://nambafood.kg/dish_image/100315.png
Лаваш,1 шт.,Хлеб,35 с,https://nambafood.kg/dish_image/100316.png
Красный бархат,200 гр.,Десерты,230 с,https://nambafood.kg/dish_image/104346.png
Медовый,200 гр.,Десерты,230 с,https://nambafood.kg/dish_image/104977.png
Сникерс,200 гр.,Десерты,250 с,https://nambafood.kg/dish_image/104984.png
Шоколадно-банановый,200 гр.,Десерты,190 с,https://nambafood.kg/dish_image/104966.png
Шоколадно-вишневый,200 гр.,Десерты,230 с,https://nambafood.kg/dish_image/104989.png
Кофейно-шоколадный,200 гр.,Десерты,230 с,https://nambafood.kg/dish_image/104970.png
Чизкейк классический,,Десерты,230 с,https://nambafood.kg/dish_image/104365.png
Coca-Cola 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/142085.png
Fanta 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/142086.png
Sprite 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/142087.png
"Coca-Cola 0,5 л",,Напитки,85 с,https://nambafood.kg/dish_image/142088.png
"Borjomi 0,5 л",,Напитки,190 с,https://nambafood.kg/dish_image/142089.png
