Наименование,Описание,Категория,Цена,Фото
Сырное ассорти,"Мраморный сыр, ореховый сыр, пармезан, тильзитский сыр, дорблю, мед, яблоко.",Закуски,620 с,https://nambafood.kg/dish_image/122010.png
Сырные палочки,,Закуски,260 с,https://nambafood.kg/dish_image/121761.png
Фирменный бургер,Котлета из телятины с двойным сыром и картофелем фри.,Сендвичи,395 с,https://nambafood.kg/dish_image/121800.png
Сендвич с тунцом в яичной рубашке,"Тунец в собственном соку, сыр чеддер, спелые помидоры, свежий огурец, печеные баклажаны, кабачок и болгарский перец.",Сендвичи,335 с,https://nambafood.kg/dish_image/133116.png
Запеченный сет,"32 шт. Запеченный хот ролл ,саки чиз ролл, запеченный с креветками ,запеченный аляска",Роллы,1090 с,https://nambafood.kg/dish_image/143381.png
Сет Япона Mix,"36 шт. Филадельфия, Калифорния, Унаги ролл, Маки с креветками, Каппа маки, жареный ролл с форелью",Роллы,1290 с,https://nambafood.kg/dish_image/121779.png
Калифорния с крабом,"Икра, тобико, огурцы, краб, майонез.",Роллы,330 с,https://nambafood.kg/dish_image/121783.png
Запеченная аляска,"Форель, творожный сыр",Роллы,400 с,https://nambafood.kg/dish_image/131243.png
Филадельфия,"Семга, огурцы, творожный сыр.",Роллы,490 с,https://nambafood.kg/dish_image/121792.png
Жареный ролл с форелью,"Форель, творожный сыр",Роллы,320 с,https://nambafood.kg/dish_image/131242.png
Саки чииз,"Сыр креметта ,форель, японский омлет",Роллы,280 с,https://nambafood.kg/dish_image/143387.png
Чикен темпура,"Копченная курица ,огурцы ,икра тобика",Роллы,290 с,https://nambafood.kg/dish_image/143388.png
Запеченный хот ролл,"Острый соус ,сыр креметта, японский омлет",Роллы,240 с,https://nambafood.kg/dish_image/143389.png
Запеченый с креветками,"Острый соус, креветка, японский омлет",Роллы,350 с,https://nambafood.kg/dish_image/143390.png
Харчо,Наваристый грузинский говяжий суп с рисом.,Супы,290 с,https://nambafood.kg/dish_image/121757.png
Сливочный суп,Со шпинатом и грибами.,Супы,200 с,https://nambafood.kg/dish_image/143394.png
Тайский суп,"На кокосовом молоке, с курицей и рисовой лапшой.",Супы,320 с,https://nambafood.kg/dish_image/121782.png
Суп лапша по-домашнему,,Супы,170 с,https://nambafood.kg/dish_image/121988.png
Кукси,"Корейский острый суп. Состав: Лапша, помидоры, огурцы, капуста, зелень.",Супы,280 с,https://nambafood.kg/dish_image/121756.png
Чечевичный суп,С печеными овощами.,Супы,180 с,https://nambafood.kg/dish_image/121991.png
Пад тай с курицей,"Рисовая лапша, перец калифорния, зеленая фасоль, красный лук, кабачки, ростки маша, арахис, соус пад тай.",Паста и ризотто,330 с,https://nambafood.kg/dish_image/121764.png
Спагетти с креветками в соусе карри,"Сливочный соус, карри, креветки, брокколи, томаты и пармезан.",Паста и ризотто,450 с,https://nambafood.kg/dish_image/121777.png
Пенне арабьята,"Макароны пенне, томатная основа, сыр пармезан.",Паста и ризотто,330 с,https://nambafood.kg/dish_image/121997.png
Карбонара с курицей,"Сливочный соус, куриное филе, пармезан, помидоры черри.",Паста и ризотто,360 с,https://nambafood.kg/dish_image/121996.png
Феттучини с грибами,"Сливочный соус, грибы, трюфельная паста, помидоры черри, пармезан.",Паста и ризотто,380 с,https://nambafood.kg/dish_image/121992.png
Гречневая лапша с курицей,"Гречневая лапша, кабачки, перец светофор, красный лук, брокколи, куриное филе, соус терияки.",Паста и ризотто,350 с,https://nambafood.kg/dish_image/121994.png
Гречневая лапша с форелью,"Гречневая лапша, кабачки, перец светофор, лук, брокколи, форель, соус терияки.",Паста и ризотто,380 с,https://nambafood.kg/dish_image/121995.png
Медальоны из телятины,В грибном соусе с картофельным пюре.,Горячие блюда,480 с,https://nambafood.kg/dish_image/121769.png
Рулеты из форели,"Форель, рис со шпинатом, соус бешамель.",Горячие блюда,390 с,https://nambafood.kg/dish_image/133119.png
Семга в пергаменте,"С миксом из киноа и булгуром, соус карри.",Горячие блюда,690 с,https://nambafood.kg/dish_image/121771.png
Куриная грудка на лингвини из кабачков,,Горячие блюда,420 с,https://nambafood.kg/dish_image/122001.png
Фрикасе на валоване,"Куриное филе, грибы, сливки, слоеные валоване.",Горячие блюда,410 с,https://nambafood.kg/dish_image/122003.png
Ковбой стейк,без гарнира,Горячие блюда,690 с,https://nambafood.kg/dish_image/121776.png
Рибай стейк,без гарнира,Горячие блюда,690 с,https://nambafood.kg/dish_image/122002.png
Тяхан с креветками,"Рис  жаренный с овощами и креветками, яйцо глазунья",Горячие блюда,360 с,https://nambafood.kg/dish_image/143379.png
Овощное лукошко бер блан,"Слоенная основа ,куриное филе, кабачки, лук, перец светофор ,шампиньоны, капуста пак чой, соус берблан",Горячие блюда,320 с,https://nambafood.kg/dish_image/143380.png
Бефстроганов с пюре,"Картофельное пюре ,томленная говядина ,шампиньоны, маринованные огурцы",Горячие блюда,380 с,https://nambafood.kg/dish_image/143393.png
Рис,,Гарниры,90 с,https://nambafood.kg/dish_image/122004.png
Картофельное пюре,,Гарниры,90 с,https://nambafood.kg/dish_image/122005.png
Брокколи,,Гарниры,120 с,https://nambafood.kg/dish_image/122006.png
Картофельные дольки,,Гарниры,90 с,https://nambafood.kg/dish_image/122007.png
Овощи гриль,,Гарниры,150 с,https://nambafood.kg/dish_image/122008.png
Хлебная корзинка,"Хлеб белый с маком, с семечками, хлеб ржаной, лавандовый хлеб.",Гарниры,120 с,https://nambafood.kg/dish_image/122009.png
Молочный чай с жемчугом 500 мл,,Bubble tea,230 с,https://nambafood.kg/dish_image/122011.png
Молочный чай с жемчугом 700 мл,,Bubble tea,280 с,https://nambafood.kg/dish_image/122012.png
Тайский чай с жемчугом 500 мл,,Bubble tea,230 с,https://nambafood.kg/dish_image/122013.png
Тайский чай с жемчугом 700 мл,,Bubble tea,280 с,https://nambafood.kg/dish_image/122014.png
Жасминовый чай с жемчугом 500 мл,,Bubble tea,230 с,https://nambafood.kg/dish_image/122016.png
Жасминовый чай с жемчугом 700 мл,,Bubble tea,280 с,https://nambafood.kg/dish_image/122019.png
Oreo тайский чай с жемчугом 500 мл,,Bubble tea,230 с,https://nambafood.kg/dish_image/122017.png
Oreo тайский чай с жемчугом 700 мл,,Bubble tea,280 с,https://nambafood.kg/dish_image/122018.png
Тайский чай с карамелью и жемчугом 500 мл,,Bubble tea,230 с,https://nambafood.kg/dish_image/122020.png
Тайский чай с карамелью и жемчугом 700 мл,,Bubble tea,280 с,https://nambafood.kg/dish_image/122021.png
Фруктовый бабл ти ягодный  с яблочными шариками 500 мл,,Bubble tea,210 с,https://nambafood.kg/dish_image/143364.png
Фрутовый бабл ти ягодный  с яблочными шариками 700 мл,,Bubble tea,250 с,https://nambafood.kg/dish_image/143365.png
Фрутовый бабл ти ягодный с шариками голубики 500мл,,Bubble tea,210 с,https://nambafood.kg/dish_image/143366.png
Фруктовый бабл ти ягодный  с шариками голубики 700мл,,Bubble tea,250 с,https://nambafood.kg/dish_image/143367.png
Фруктовый бабл ти ягодный  с шариками из апельсина 500 мл,,Bubble tea,210 с,https://nambafood.kg/dish_image/143368.png
Фруктовый бабл ти ягодный с шариками из апельсина 700 мл,,Bubble tea,250 с,https://nambafood.kg/dish_image/143369.png
Фруктовый бабл ти ягодный с шариками из земляники 500 мл,,Bubble tea,210 с,https://nambafood.kg/dish_image/143370.png
Фруктовый бабл ти маракуя с шариками из голубики 500 мл,,Bubble tea,210 с,https://nambafood.kg/dish_image/143373.png
Фрутовый бабл ти маракуя с шариками из голубики 700 мл,,Bubble tea,250 с,https://nambafood.kg/dish_image/143374.png
Фруктовый бабл ти персиковый с шариками из яблоки 500 мл,,Bubble tea,210 с,https://nambafood.kg/dish_image/143375.png
Фруктовый бабл ти персиковый с шариками из яблоки 700 мл,,Bubble tea,250 с,https://nambafood.kg/dish_image/143376.png
