Наименование,Описание,Категория,Цена,Фото
Ковбой стейк,,Вторые блюда,750 с,https://nambafood.kg/dish_image/104720.png
Тибон стейк,,Вторые блюда,750 с,https://nambafood.kg/dish_image/105058.png
Стейк из семги в сливочном соусе,,Вторые блюда,750 с,https://nambafood.kg/dish_image/105060.png
Босо лагман,"Мясо говядина, перец, басай, зелень, специи",Вторые блюда,250 с,https://nambafood.kg/dish_image/90055.png
Ган-Фан,"Мясо говядина, перец, басай, зелень, рис, специи",Вторые блюда,250 с,https://nambafood.kg/dish_image/90056.png
Жидкий лагман,"Мясо говядина, перец, басай, зелень, специи",Вторые блюда,250 с,https://nambafood.kg/dish_image/90059.png
Гуйру лагман,"Мясо говядина, перец, басай, зелень, специи",Вторые блюда,250 с,https://nambafood.kg/dish_image/90069.png
Манты,"Мясо говядина, лук, специи",Вторые блюда,250 с,https://nambafood.kg/dish_image/105070.png
Жаровня из курицы,,Вторые блюда,320 с,https://nambafood.kg/dish_image/105075.png
Жаровня из рыбы,,Вторые блюда,360 с,https://nambafood.kg/dish_image/105076.png
Жаровня из говядины,,Вторые блюда,350 с,https://nambafood.kg/dish_image/105074.png
Мясо с картошкой,,Вторые блюда,350 с,https://nambafood.kg/dish_image/140855.png
Куриная грудка со шпинатом,"Куриное филе, шпинат, голландский сыр, сливочное масло, чеснок, сливки, виола",Вторые блюда,380 с,https://nambafood.kg/dish_image/141072.png
Отбивная с сыром,"Мясо говядина, голландский сыр, фри, специи вкусовые, черри, кетчуп, зелень",Вторые блюда,450 с,https://nambafood.kg/dish_image/141073.png
Пицца Ассорти,,Пицца,570 с,https://nambafood.kg/dish_image/101811.png
Пицца Мексиканская,,Пицца,590 с,https://nambafood.kg/dish_image/101812.png
Пицца Пеперони,,Пицца,550 с,https://nambafood.kg/dish_image/101813.png
Куриная пицца,"Кур.филе, лук реп., сливочный соус, сыр телезицкий, 900 гр",Пицца,520 с,https://nambafood.kg/dish_image/59750.png
Мясная пицца,"""Говядина, помидоры, перец болгарский, лук реп.,  соус томатный, сыр телезицкий """,Пицца,590 с,https://nambafood.kg/dish_image/59764.png
Хлебная пирамида,,Мучные изделия,250 с,https://nambafood.kg/dish_image/105072.png
Боорсок 1кг,,Мучные изделия,220 с,https://nambafood.kg/dish_image/90054.png
Лепешка,,Мучные изделия,40 с,https://nambafood.kg/dish_image/83747.png
Рис,,Гарниры,60 с,https://nambafood.kg/dish_image/60043.png
Картофель фри,,Гарниры,120 с,https://nambafood.kg/dish_image/60044.png
Ассорти в тандыре,"500 гр. ребра, баранина, говядина, крылышки, рыба, курица",Шашлыки,390 с,https://nambafood.kg/dish_image/90045.png
Шашлык Блаженство,250 гр.,Шашлыки,390 с,https://nambafood.kg/dish_image/90051.png
Хан кебаб,300 гр.,Шашлыки,290 с,https://nambafood.kg/dish_image/59798.png
Баранина с овощами,230 гр.,Шашлыки,370 с,https://nambafood.kg/dish_image/90050.png
Шашлык Семечки,260 гр.,Шашлыки,320 с,https://nambafood.kg/dish_image/59782.png
Шашлык Баранина ребра,300 гр.,Шашлыки,390 с,https://nambafood.kg/dish_image/59721.png
Овощи на мангале,,Шашлыки,190 с,https://nambafood.kg/dish_image/59768.png
