Наименование,Описание,Категория,Цена,Фото
Сэндвич с тунцом в яичной рубашке,"С фри и кетчупом, тостерный хлеб, тунец в собственном соку, лист салата, красный лук, спелые помидоры, свежий огурец, обжаривается в яйце",Fast food,409 с,https://nambafood.kg/dish_image/124250.png
Ролл сэндвич с курицей карри,"С картофелем фри и кетчупом, мексиканская тортилья с начинкой из листьев салата, свежих помидоров, огурцов, куриным филе, болгарским перцем, кабачком и японским омлетом в соусе карри",Fast food,389 с,https://nambafood.kg/dish_image/124251.png
Горячие тосты с копченой индейкой,,Fast food,279 с,https://nambafood.kg/dish_image/124240.png
Сэндвич на ржаном хлебе с семгой,,Fast food,439 с,https://nambafood.kg/dish_image/144534.png
Сэндвич на ржаном хлебе с курицей,,Fast food,319 с,https://nambafood.kg/dish_image/144535.png
Сэндвич на ржаном хлебе с грибами,,Fast food,299 с,https://nambafood.kg/dish_image/144536.png
Сырная тарелка,"Дорблю, пармезан, мраморный, моцарелла 2 вида, мед, виноград, грецкий орех",Закуски,749 с,https://nambafood.kg/dish_image/124254.png
Соленья,"Маринованые грибы, помидоры черри, корнишоны, маринованная капуста",Закуски,529 с,https://nambafood.kg/dish_image/124255.png
Пивная закуска,"Куриные крылышки, сырные палочки, колбаски, начос, чечил",Закуски,879 с,https://nambafood.kg/dish_image/124257.png
Кесадилья с цыпленком,,Закуски,459 с,https://nambafood.kg/dish_image/124258.png
Куриные крылышки BBQ,,Закуски,629 с,https://nambafood.kg/dish_image/124259.png
Брускетта с малосольным лососем,"Французский тост, авокадо, сливочный сыр, скрэмбл и малосольный лосось",Закуски,499 с,https://nambafood.kg/dish_image/124260.png
Гёзлеме с сыром,,Закуски,399 с,https://nambafood.kg/dish_image/144537.png
Куриные твистеры с фри,,Закуски,289 с,https://nambafood.kg/dish_image/144538.png
Брускетта с копченой индейкой,,Закуски,369 с,https://nambafood.kg/dish_image/144539.png
Карбонара с курицей,Спагетти в сливочном соусе с кусочками куриного филе и сыром Грана Падано,Паста,419 с,https://nambafood.kg/dish_image/124263.png
Альфредо с куриным филе,"Паста со шпинатом в сливочном соусе с кусочками куриной грудки, шампиньонами и с сыром Грана Падано",Паста,439 с,https://nambafood.kg/dish_image/124264.png
Болоньезе,"Мелко рубленный фарш из телячьей вырезки с сельдереем и репчатым луком, тушеный в томатном соусе",Паста,419 с,https://nambafood.kg/dish_image/124265.png
Пенне арабиата,Макароны пенне в пикантном томатном соусе,Паста,369 с,https://nambafood.kg/dish_image/124274.png
Фарфалле с копченой индейкой в соусе песто,,Паста,439 с,https://nambafood.kg/dish_image/124268.png
Феттучини с семгой,"Итальянские макароны, семга, брокколи, сыр Пармезан, сливочная основа с добавлением томатного соуса",Паста,559 с,https://nambafood.kg/dish_image/124270.png
Лингвини с креветками и мидиями,"Итальянские макароны, креветки, мидии в створках, сыр Пармезан, помидоры черри, томатный соус",Паста,549 с,https://nambafood.kg/dish_image/124262.png
Лазанья с курицей и грибами,,Паста,449 с,https://nambafood.kg/dish_image/124275.png
Феттучини с грибами,,Паста,399 с,https://nambafood.kg/dish_image/124267.png
Соба с курицей,"Соба - гречневая лапша WOK, жареная с овощами и соусом Терияки",Паста,379 с,https://nambafood.kg/dish_image/124271.png
Соба с лососем,"Соба - гречневая лапша WOK, жареная с овощами и соусом Терияки",Паста,499 с,https://nambafood.kg/dish_image/124272.png
Соба с креветками,"Соба - гречневая лапша WOK, жареная с овощами и соусом Терияки",Паста,469 с,https://nambafood.kg/dish_image/124273.png
Ризотто с грибами,"Рис, вешенки, шампиньоны, вино красное, сливки, сыр пармезан, помидоры черри",Паста,469 с,https://nambafood.kg/dish_image/144540.png
Тофу с грибами в соусе терияки,,Вегетарианские блюда,379 с,https://nambafood.kg/dish_image/124276.png
Сыр тофу с нори,Подается с жареным рисом и овощами и азиатским соусом,Вегетарианские блюда,359 с,https://nambafood.kg/dish_image/124277.png
Брокколи IQ,Бланшированная брокколи в пикантном азиатском соусе,Вегетарианские блюда,299 с,https://nambafood.kg/dish_image/124278.png
Тяхан с овощами,,Вегетарианские блюда,299 с,https://nambafood.kg/dish_image/144541.png
Судак су-вид в сливочном соусе,"Филе судака, шпинат, стручковая фасоль, сливочный соус",Рыба и морепродукты,579 с,https://nambafood.kg/dish_image/124280.png
Тяхан с морепродуками и курицей,,Рыба и морепродукты,429 с,https://nambafood.kg/dish_image/124281.png
Жасминовый рис с морепродуктами,,Рыба и морепродукты,579 с,https://nambafood.kg/dish_image/124282.png
Стейк из лосося с розовым пюре и сливочно-укропным соусом,,Рыба и морепродукты,889 с,https://nambafood.kg/dish_image/124283.png
Дорадо на гриле,,Рыба и морепродукты,849 с,https://nambafood.kg/dish_image/124279.png
Филе судака на пермантье из шпината,С азиатским соусом,Рыба и морепродукты,449 с,https://nambafood.kg/dish_image/144542.png
Курица в кисло-сладком соусе,,Птица,459 с,https://nambafood.kg/dish_image/124286.png
Филе цыпленка гриль со шпинатом,В сливочном соусе и томатами черри,Птица,479 с,https://nambafood.kg/dish_image/124287.png
Курица карри с лепешками тортилья и рисом,,Птица,439 с,https://nambafood.kg/dish_image/124288.png
Куриное филе су-вид,"С булгуром, томленное в сливочном-грибном соусе, с глазированной тыквой",Птица,439 с,https://nambafood.kg/dish_image/124289.png
Говядина с тофу,"Мраморная говядина, тофу, соус пулькоги",Мясо,459 с,https://nambafood.kg/dish_image/124300.png
Томленая телятина,В сливочно-грибном соусе и грецким орехом на блинчиках,Мясо,499 с,https://nambafood.kg/dish_image/124292.png
Кусочки говядины с картошкой и грибами,,Мясо,329 с,https://nambafood.kg/dish_image/124294.png
Бефстроганов,"Из телятины с грибами, соленым огурцом и картофельным пюре",Мясо,499 с,https://nambafood.kg/dish_image/124296.png
Бифф брокколи,"Бон филе говядины, брокколи, зелень, устричный соус",Мясо,499 с,https://nambafood.kg/dish_image/124297.png
Говядина с картофелем фри,,Мясо,609 с,https://nambafood.kg/dish_image/124301.png
Тибон с овощами гриль,,Мясо,899 с,https://nambafood.kg/dish_image/124302.png
Стейк ковбой с овощным рататуем,,Мясо,899 с,https://nambafood.kg/dish_image/124303.png
Стейк мачете из мраморного мяса,,Мясо,799 с,https://nambafood.kg/dish_image/124304.png
Стейк рибай,С грибами и спаржей в сливочном соусе,Мясо,899 с,https://nambafood.kg/dish_image/124305.png
Медальоны из говядины с овощным соте,,Мясо,629 с,https://nambafood.kg/dish_image/144543.png
Гречка,,Гарниры,109 с,https://nambafood.kg/dish_image/124306.png
Рис,,Гарниры,109 с,https://nambafood.kg/dish_image/124307.png
Картофельное пюре,,Гарниры,109 с,https://nambafood.kg/dish_image/124308.png
Картофельные дольки,,Гарниры,129 с,https://nambafood.kg/dish_image/124309.png
Фри,,Гарниры,139 с,https://nambafood.kg/dish_image/124310.png
Рататуй,,Гарниры,199 с,https://nambafood.kg/dish_image/124311.png
Картофель фри с сыром Пармезан и трюфельным маслом,,Гарниры,149 с,https://nambafood.kg/dish_image/124312.png
Овощи гриль,,Гарниры,229 с,https://nambafood.kg/dish_image/124313.png
Хлебная корзина,,Гарниры,99 с,https://nambafood.kg/dish_image/124314.png
Чесночный хлеб,,Гарниры,99 с,https://nambafood.kg/dish_image/124315.png
Тостерный хлеб,,Гарниры,99 с,https://nambafood.kg/dish_image/124316.png
Соус айоли,30 гр.,Соусы,39 с,https://nambafood.kg/dish_image/124317.png
Сметана,50 гр.,Соусы,39 с,https://nambafood.kg/dish_image/124318.png
Соус сальса,50 гр.,Соусы,59 с,https://nambafood.kg/dish_image/124319.png
Горчица,50 гр.,Соусы,69 с,https://nambafood.kg/dish_image/124320.png
Мясной микс гриль,"Рибай стейк, куриная грудка, домашние колбаски, бараньи тибончики, цыпленок, куриные крылышки, овощи гриль, картофельные клинья, фри",Блюда на компанию,3299 с,https://nambafood.kg/dish_image/124321.png
Ассорти микс гриль,"Стейк из семги, форель, рибай стейк, медальоны из говядины, наггетсы, цыпленок табака 0,5 шт., рис, овощи гриль",Блюда на компанию,4109 с,https://nambafood.kg/dish_image/124322.png
Ристретто,,Кофейные напитки,139 с,https://nambafood.kg/dish_image/124340.png
Эспрессо,,Кофейные напитки,139 с,https://nambafood.kg/dish_image/124341.png
Дабл Эспрессо,,Кофейные напитки,169 с,https://nambafood.kg/dish_image/124342.png
Американо,,Кофейные напитки,149 с,https://nambafood.kg/dish_image/124343.png
Дабл Американо,,Кофейные напитки,169 с,https://nambafood.kg/dish_image/124344.png
Флет Вайт 200 мл.,,Кофейные напитки,189 с,https://nambafood.kg/dish_image/124345.png
Капучино 200 мл.,,Кофейные напитки,179 с,https://nambafood.kg/dish_image/124346.png
Капучино Фундук 200 мл.,,Кофейные напитки,189 с,https://nambafood.kg/dish_image/124348.png
Капучино Миндаль 200 мл.,,Кофейные напитки,229 с,https://nambafood.kg/dish_image/124349.png
Капучино Ваниль 200 мл.,,Кофейные напитки,189 с,https://nambafood.kg/dish_image/124350.png
Капучино Карамель 200 мл.,,Кофейные напитки,189 с,https://nambafood.kg/dish_image/124351.png
Капучино 350 мл.,,Кофейные напитки,219 с,https://nambafood.kg/dish_image/124352.png
Капучино Фундук 350 мл.,,Кофейные напитки,229 с,https://nambafood.kg/dish_image/124354.png
Капучино Миндаль 350 мл.,,Кофейные напитки,239 с,https://nambafood.kg/dish_image/124355.png
Капучино Ваниль 350 мл.,,Кофейные напитки,229 с,https://nambafood.kg/dish_image/124356.png
Капучино Карамель 350 мл.,,Кофейные напитки,229 с,https://nambafood.kg/dish_image/124357.png
Латте 300 мл.,,Кофейные напитки,189 с,https://nambafood.kg/dish_image/124358.png
Латте Крем - брюле 300 мл.,,Кофейные напитки,209 с,https://nambafood.kg/dish_image/124360.png
Латте Фисташка 300 мл.,,Кофейные напитки,209 с,https://nambafood.kg/dish_image/124361.png
Латте Ваниль 300 мл.,,Кофейные напитки,209 с,https://nambafood.kg/dish_image/124364.png
Медовый классический,,Десерты,229 с,https://nambafood.kg/dish_image/124324.png
Наполеон,,Десерты,259 с,https://nambafood.kg/dish_image/124325.png
Чизкейк Нью-Йорк,,Десерты,289 с,https://nambafood.kg/dish_image/124326.png
Вуппи пай,,Десерты,259 с,https://nambafood.kg/dish_image/124327.png
Супермен,,Десерты,319 с,https://nambafood.kg/dish_image/124328.png
Ред вельвет с профитролями,,Десерты,339 с,https://nambafood.kg/dish_image/124329.png
Блинный классический,,Десерты,359 с,https://nambafood.kg/dish_image/124331.png
Бейби динамит,,Десерты,329 с,https://nambafood.kg/dish_image/124337.png
Персик - гуава 0.4 л.,,Фирменные лимонады,219 с,https://nambafood.kg/dish_image/124396.png
Киви - яблоко 0.4 л.,,Фирменные лимонады,219 с,https://nambafood.kg/dish_image/124399.png
Манго - маракуйя 0.4 л.,,Фирменные лимонады,219 с,https://nambafood.kg/dish_image/124397.png
Маракуйя - клубника 0.4 л.,,Фирменные лимонады,219 с,https://nambafood.kg/dish_image/124398.png
Облепиха - алыча 0.4 л.,,Фирменные лимонады,219 с,https://nambafood.kg/dish_image/124400.png
Лесные ягоды 0.4 л.,,Фирменные лимонады,219 с,https://nambafood.kg/dish_image/124401.png
Мохито 0.4 л.,,Фирменные лимонады,219 с,https://nambafood.kg/dish_image/124402.png
Черника - бузина 1 л,,Фирменные лимонады,359 с,https://nambafood.kg/dish_image/124403.png
Персик - гуава 1 л,,Фирменные лимонады,359 с,https://nambafood.kg/dish_image/124404.png
Киви - яблоко 1 л,,Фирменные лимонады,359 с,https://nambafood.kg/dish_image/124405.png
Манго - маракуйя 1 л,,Фирменные лимонады,359 с,https://nambafood.kg/dish_image/124406.png
Маракуйя - клубника 1 л,,Фирменные лимонады,359 с,https://nambafood.kg/dish_image/124407.png
Облепиха - алыча 1 л,,Фирменные лимонады,359 с,https://nambafood.kg/dish_image/124408.png
Лесные ягоды 1 л,,Фирменные лимонады,359 с,https://nambafood.kg/dish_image/124409.png
Мохито 1 л,,Фирменные лимонады,359 с,https://nambafood.kg/dish_image/124410.png
Coca Cola 1 л.,,Безалкогольные напитки,219 с,https://nambafood.kg/dish_image/124411.png
Fanta 1 л.,,Безалкогольные напитки,219 с,https://nambafood.kg/dish_image/124412.png
Sprite 1 л.,,Безалкогольные напитки,219 с,https://nambafood.kg/dish_image/124413.png
BonAqua с газом 1 л.,,Безалкогольные напитки,109 с,https://nambafood.kg/dish_image/124414.png
BonAqua без газа 1 л.,,Безалкогольные напитки,109 с,https://nambafood.kg/dish_image/124415.png
Натуральный сок в ассортименте 1 л.,,Безалкогольные напитки,259 с,https://nambafood.kg/dish_image/124416.png
Borjomi 0.5 л.,,Безалкогольные напитки,229 с,https://nambafood.kg/dish_image/124417.png
Schweppes 0.33 л.,,Безалкогольные напитки,189 с,https://nambafood.kg/dish_image/124418.png
Red Bull 0.25 л.,,Безалкогольные напитки,269 с,https://nambafood.kg/dish_image/124419.png
Nitro 0.25 л.,,Безалкогольные напитки,189 с,https://nambafood.kg/dish_image/124420.png
